timestamp,rnti,cqi,pusch_snr,pucch_snr,dl_bler,ul_bler,dl_mcs1,dl_mcs2,ul_mcs1,ul_mcs2,dl_tbs,ul_tbs,dl_aggr_tbs,ul_aggr_tbs,dl_prb,ul_prb,dl_sched_rb,ul_sched_rb,bsr,phr,frame,slot,rlc_tx_pkts,rlc_tx_bytes,rlc_rx_pkts,rlc_rx_bytes,rlc_txbuf,rlc_rxbuf,rlc_retx,pdcp_tx_pkts,pdcp_tx_bytes,pdcp_rx_pkts,pdcp_rx_bytes,dl_thp_kbps,ul_thp_kbps,rlc_sdu_delay_us,pdcp_vol_dl_kb,pdcp_vol_ul_kb,prb_tot_dl,prb_tot_ul
1768230904669568,20197,0,51.00,53.00,0.0000,0.0000,9,0,7,0,0,0,500369,449144,20341,20555,0,0,0,0,315,17,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0,0,0
1768230904673660,20197,0,51.00,53.00,0.0000,0.0000,9,0,7,0,0,0,500514,449367,20347,20612,0,0,0,0,318,10,14,366,48,844,0,0,0,4,324,10,630,0.00,0.00,0.00,0,0,0,0
1768230904683455,20197,0,51.00,53.00,0.0000,0.0000,9,0,7,0,0,0,500637,449528,20352,20658,0,0,4294967277,0,320,16,17,486,53,1010,0,0,0,6,435,12,777,0.00,0.00,0.00,0,0,0,0
1768230904693524,20197,0,51.00,53.00,0.0000,0.0000,9,0,7,0,0,0,500760,449547,20357,20658,0,0,0,0,323,6,18,489,58,1143,0,0,0,6,435,14,891,0.00,0.00,0.00,0,0,0,0
1768230904703652,20197,0,51.00,53.00,0.0000,0.0000,9,0,7,0,0,0,500760,449547,20357,20658,0,0,0,0,326,0,18,489,58,1143,0,0,0,6,435,14,891,0.00,0.00,0.00,0,0,0,0
1768230904713602,20197,0,51.00,53.00,0.0000,0.0000,9,0,7,0,0,0,500760,449547,20357,20658,0,0,0,0,328,8,18,489,58,1143,0,0,0,6,435,14,891,0.00,0.00,0.00,0,0,0,0
1768230904723481,20197,0,51.00,53.00,0.0000,0.0000,9,0,8,0,0,0,500883,449648,20362,20663,0,0,0,0,331,1,18,489,58,1143,0,0,0,6,435,14,891,0.00,0.00,0.00,0,0,0,0
1768230904733386,20197,0,51.00,53.00,0.0000,0.0000,9,0,8,0,0,0,501006,449869,20367,20717,0,0,4294967274,0,333,14,19,547,58,1143,0,0,0,7,490,14,891,0.00,0.00,0.00,0,0,0,0
1768230904743412,20197,0,51.00,53.00,0.0000,0.0000,9,0,8,0,0,0,501151,449935,20373,20739,0,0,4294967295,0,336,10,22,667,62,1335,0,0,0,9,601,15,1067,0.00,0.00,0.00,0,0,0,0
1768230904753594,20197,0,51.00,53.00,0.0000,0.0000,9,0,8,0,0,0,501274,450033,20378,20776,0,0,19,0,339,4,22,667,66,1414,0,3,0,10,664,16,1130,0.00,0.00,0.00,0,0,0,0
1768230904763614,20197,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,501397,450226,20383,20791,0,0,0,0,342,2,24,736,69,1445,0,0,0,10,664,16,1130,58.88,124.80,0.00,5,9,20378,20781
